Name																
Location2																
																
SizeX	1600															
SizeY	1200															
EnemyLimit	20															
SpawnModifier	50															
																
NumberOfPlatforms	9															
Platform1	2	0	1100	1600	1100	4	0	1100	1600	1100	1600	1200	0	1200	1.0	0
Platform2	2	400	1100	500	1100	4	400	1100	500	1100	500	1150	400	1150	0.2	1
Platform3	2	400	1000	500	1000	4	400	1000	500	1000	500	1050	400	1050	0.2	1
Platform4	2	400	900	500	900	4	400	900	500	900	500	950	400	950	0.2	1
Platform5	2	400	800	500	800	4	400	800	500	800	500	850	400	850	0.2	1
Platform6	2	400	700	500	700	4	400	700	500	700	500	750	400	750	0.2	1
Platform7	2	400	600	500	600	4	400	600	500	600	500	650	400	650	0.2	1
Platform8	2	200	600	300	600	4	200	600	300	600	300	650	200	650	0.2	1
Platform9	2	600	600	700	600	4	600	600	700	600	700	650	600	650	0.2	1
																
NumberOfLadders	2															
Ladder1	240	600	10	450	20	460										
Ladder2	640	600	10	450	20	460										
																
NumberOfPortals	1															
Portal1	100	1100	1500	1100	Location1.txt											
																
NumberOfEnemies	3	1	2	3												
